Dataset,MLHAT2,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABA,ABO,MLHT,MLHTPS,iSOUPT
Flags,0.33962808785704357,0.3381686612818287,0.31164936099802065,0.40007281524104094,0.27182155788935003,0.28877410524005853,0.27182155788935003,0.5129346142432873,0.3521921681707504,0.28583606477060974,0.3359426468576016,0.3861104388534018,0.3993931537086373,0.34623938241473895,0.3389490100267837,0.40007281524104094
WaterQuality,0.3073142002977757,0.29953355624706746,0.41912407677604746,0.3208032858670774,0.326916440043084,0.32812413267127616,0.320670128261348,0.39394429930891073,0.33543847887635647,0.29080546872631724,0.2922864753874485,0.3186557207191189,0.3161038920396167,0.39468668981965327,0.3414091104955206,0.3246333531262907
Emotions,0.30711984860796826,0.2896565196266957,0.2652932656191972,0.423299804433815,0.24541115460448132,0.24232719699704078,0.2493278145681176,0.4374264321833674,0.31292473472893245,0.2311093933987519,0.27311942819527224,0.4109797094906016,0.4148986656257577,0.4115451595167644,0.2638654749942179,0.423299804433815
VirusGO,0.140820355562639,0.11909971437635197,0.25762597005051835,0.12956317673129703,0.1988615371985133,0.1496483356210263,0.19967059868718642,0.7649087741337841,0.1586780767969893,0.18599531327847763,0.05874411208482346,0.13199349701204593,0.12878128153669255,0.24075470034648752,0.20532497031087904,0.13199036119731644
Birds,0.07302243005994599,0.06579188700679378,0.05367250080173165,0.10049804858278646,0.05342879149107045,0.053672504524238614,0.053508448441714915,0.33110303420888865,0.055459851849635235,0.050907600424393594,0.058873077860653156,0.07529175717465661,0.08895574638708645,0.05318507969873795,0.05326631654923686,0.10114804523200044
Yeast,0.22207163710084765,0.22669095209823265,0.29238325849187363,0.22863341299785914,0.21754475135267964,0.2179538234741551,0.21810418103732943,0.2789020937812981,0.23181059230929452,0.21621779564339352,0.23010415697309755,0.22901582640620918,0.22869213062470078,0.2696118492337878,0.24051597009156425,0.22483808231810964
Scene,0.0207450525932603,0.06713198336478679,0.22147346565419468,0.0300494986822141,0.1579881340704114,0.1363306074138027,0.09008507430524643,0.28685867631786444,0.09829835224378398,0.06085681670815424,0.04997206444142442,0.030945336125376102,0.03122115000961923,0.2794344819861898,0.1509699247014165,0.039560591500510334
Gnegative,0.011177725022922181,0.06735401113585496,0.10984263306219635,0.013235308640503563,0.0834580384648486,0.0834529202970281,0.0782687584137465,0.42730165616113425,0.062162536462434,0.05661556075844051,0.029426757630070695,0.013502998761781935,0.013860596869348792,0.15508333718841555,0.08889886487057197,0.012876781622327296
Plant,0.03113874278641197,0.10345729892194915,0.17682736549773914,0.020538417775931045,0.09012990651736383,0.089960262181377,0.0874190829610492,0.2992377613023063,0.06968801390092763,0.07418097928539846,0.04957473528681257,0.023085510694006224,0.02385017364654215,0.12358950946569602,0.0896208890569144,0.020538417775931045
Human,0.022453562849391005,0.06170984694534638,0.23449401150894408,0.019547313167695944,0.08160009304297922,0.07248922740860578,0.0790819212977876,0.16926184542666756,0.07203458587028323,0.04207117006588759,0.05525784836895015,0.019959425600253544,0.019638804237790637,0.10817872301972281,0.11825116503040028,0.023163812108720035
